#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
wiki_4:2664,Les cibles de la plateforme principale passées en études de sécurité de phase I comprennent :,Major platform targets advanced into Phase I safety studies include:
wiki_4:2665,"acide nucléique (ADN et ARN) (phase I développeur et candidat vaccin : Moderna, mRNA-1273)","nucleic acid (DNA and RNA) (Phase I developer and vaccine candidate: Moderna, mRNA-1273)"
wiki_4:2666,"vecteur viral (phase I développeur et candidat vaccin : CanSino Biologics, vecteur adénoviral de type 5)","viral vector (Phase I developer and vaccine candidate: CanSino Biologics, adenovirus type 5 vector)"
wiki_4:2667,"Comme l’ont déclaré les scientifiques de la CEPI en avril, 115 candidats vaccins au total en sont aux premiers stades de développement dont 78 (79 d’après l’institut Milken) confirmés comme actifs et 37 autres annoncés, mais avec peu d’informations publiques disponibles (présumés en cours de planification ou de conception).","As reported by CEPI scientists in April, 115 total vaccine candidates are in early stages of development, with 78 confirmed as active projects (79, according to the Milken Institute), and 37 others announced, but with little public information available (presumed to be in planning or being designed)."
wiki_4:2668,"Un essai de phase I-II mène des tests préliminaires de sécurité et d’immunogénicité, est habituellement randomisé, contrôlé contre placébo et réalisé dans plusieurs centres tout, en déterminant des doses efficaces plus précises.","A Phase I-II trial conducts preliminary safety and immunogenicity testing, is typically randomized, placebo-controlled, and at multiple sites, while determining more precise, effective doses."
wiki_4:2669,"Les essais de phase III impliquent habituellement plus de participants, incluant un groupe témoin, et testent l’efficacité du vaccin dans la prévention de la maladie, tout en surveillant les effets indésirables à la dose optimale.","Phase III trials typically involve more participants, including a control group, and test effectiveness of the vaccine to prevent the disease, while monitoring for adverse effects at the optimal dose."
wiki_4:2670,"Parmi les 79 candidats vaccins au développement actif (confirmés début avril 2020), 74 n’étaient pas encore en phase d’évaluation sur la personne humaine (toujours en recherche « préclinique »).","Of 79 vaccine candidates in active development (confirmed as of early April 2020), 74 were not yet in human evaluation (still in ""preclinical"" research)."
wiki_4:2671,"Aux alentours du 24 janvier 2020 en Australie, l’université du Queensland a annoncé qu’elle étudiait le potentiel d’un vaccin à pince moléculaire qui modifierait génétiquement les protéines virales pour stimuler une réaction immunitaire.","Around 24 January 2020 in Australia, the University of Queensland announced that it is investigating the potential of a molecular clamp vaccine that would genetically modify viral proteins in order to stimulate an immune reaction."
wiki_4:2672,"Aux alentours du 24 janvier 2020 au Canada, l’International Vaccine Centre (VIDO-InterVac) de l’université de Saskatchewan a annoncé avoir commencé à travailler sur un vaccin, dont les tests sur l’homme devraient débuter en 2021.","Around 24 January 2020 in Canada, the International Vaccine Centre (VIDO-InterVac) at the University of Saskatchewan announced the commencement of work on a vaccine, aiming to start human testing in 2021."
wiki_4:2673,"Des projets de développement de vaccin ont été annoncés au centre chinois de contrôle et de prévention des maladies le 26 janvier 2020, et à l’université de Hong Kong le 28 janvier.","Vaccine development projects were announced at the Chinese Center for Disease Control and Prevention on 26 January 2020, and the University of Hong Kong on 28 January."
wiki_4:2674,"Aux alentours du 29 janvier 2020, Janssen Pharmaceutical Companies, dirigée par Hanneke Schuitemaker, a annoncé avoir commencé à travailler sur le développement d’un vaccin.","Around 29 January 2020, Janssen Pharmaceutical Companies, led by Hanneke Schuitemaker, announced that it had begun work on developing a vaccine."
wiki_4:2675,"Janssen développe un vaccin oral en collaboration avec son partenaire en biotechnologie, Vaxart.","Janssen is co-developing an oral vaccine with its biotechnology partner, Vaxart."
wiki_4:2676,"Le 18 mars 2020, Emergent BioSolutions a annoncé un partenariat de fabrication avec Vaxart pour développer le vaccin.","On 18 March 2020, Emergent BioSolutions announced a manufacturing partnership with Vaxart to develop the vaccine."
wiki_4:2677,"Le 8 février 2020, le laboratoire OncoGen en Roumanie a publié un document sur la conception d’un vaccin avec une technologie similaire à celle de la vaccination à néoantigènes utilisée pour le traitement contre le cancer.","On 8 February 2020, the laboratory OncoGen in Romania published a paper on the design of a vaccine with similar technology to the one used for cancer neoantigen vaccination therapy."
wiki_4:2678,"Le 25 mars, le directeur de l’institut de recherche a annoncé qu’ils avaient finalisé la synthèse du vaccin et qu’ils commençaient les tests.",On 25 March the head of the research institute announced that they had finalized the synthesis of the vaccine and were beginning the tests.
wiki_4:2679,"Le 27 février 2020, une filiale de Generex, NuGenerex Immuno-Oncology, a annoncé avoir commencé un projet de vaccin dans le but de créer un vaccin à base de peptides Ii-Key contre la COVID-19.","On 27 February 2020, a Generex subsidiary company, NuGenerex Immuno-Oncology, announced they were beginning a vaccine project to create an Ii-Key peptide vaccine against COVID-19."
wiki_4:2680,Ils voulaient produire un candidat vaccin qui pourrait être testé chez l’homme « dans les 90 jours ».,"They wanted to produce a vaccine candidate that could be tested in humans ""within 90 days."""
wiki_4:2681,"Le 5 mars 2020, l’université Washington à St Louis a annoncé son projet de développement d’un vaccin.","On 5 March 2020, Washington University in St. Louis announced its projects to develop a vaccine."
wiki_4:2682,"Le 5 mars 2020, l’United States Army Medical Research and Materiel Command à Fort Detrick et le Walter Reed Army Institute of Research à Silver Spring, situés tous deux à l’ouest du Maryland, ont annoncé travailler sur un vaccin.","On 5 March 2020, the United States Army Medical Research and Materiel Command at Fort Detrick and the Walter Reed Army Institute of Research in Silver Spring, both in western Maryland, announced they were working on a vaccine."
wiki_4:2683,"Aux alentours du 10 mars 2020, Emergent Biosolutions a annoncé s’associer à Novavax Inc.","Around 10 March 2020, Emergent Biosolutions announced that it had teamed with Novavax Inc."
wiki_4:2684,dans le développement et la fabrication d’un vaccin.,in the development and manufacture of a vaccine.
wiki_4:2685,Les partenaires ont également annoncé des projets de test préclinique et un essai clinique de phase I pour juillet 2020.,The partners further announced plans for preclinical testing and a Phase I clinical trial by July 2020.
wiki_4:2686,"Le 12 mars 2020, le ministère indien de la santé a annoncé qu’ils travaillaient sur 11 isolats et que même en procédure accélérée, il faudrait environ un an et demi à deux ans pour développer un vaccin.","On 12 March 2020, India's Health Ministry announced they are working with 11 isolates, and that even on a fast track it would take at least around one-and-a-half to two years to develop a vaccine."
